PrixOrigine,Marque,Categorie,FlagElectrique,EtatVeloLabel,Depreciation%,DepreciationEUR,Anciennete
5899.0,Cannondale,Cross-country,0,Comme Neuf,-0.1525682319037125,-900.0,0.3041095890410959
1999.0,Scott,Trail / Enduro,0,Usé,-0.599799899949975,-1199.0,5.306849315068493
2800.0,Specialized,Cross-country,0,Bon État,-0.3571428571428571,-1000.0,3.3068493150684932
3999.0,Trek,Cross-country,0,Bon État,-0.24981245311327827,-999.0,2.304109589041096
999.0,Orbea,Cross-country,0,Usé,-0.3993993993993994,-399.0,5.306849315068493
1300.0,Orbea,Cross-country,0,Bon État,-0.46153846153846156,-600.0,0.3041095890410959
6000.0,Scott,Cross-country,0,Usé,-0.41666666666666663,-2500.0,2.304109589041096
2499.0,Trek,Cross-country,0,Très Bon État,-0.17967186874749896,-449.0,0.3041095890410959
9499.0,Trek,Cross-country,0,Usé,-0.5894304663648805,-5599.0,2.304109589041096
5999.0,Lapierre,Cross-country,0,Bon État,-0.45157526254375724,-2709.0,2.304109589041096
5200.0,Scott,Trail / Enduro,0,Bon État,-0.125,-650.0,0.3041095890410959
5190.0,Scott,Cross-country,0,Très Bon État,-0.19075144508670516,-990.0,0.3041095890410959
4699.0,Cannondale,Cross-country,0,Comme Neuf,-0.2338795488401788,-1099.0,0.3041095890410959
6600.0,Scott,Cross-country,0,Très Bon État,-0.303030303030303,-2000.0,0.3041095890410959
9300.0,Scott,Trail / Enduro,0,Très Bon État,-0.19354838709677424,-1800.0,1.3041095890410959
2800.0,Orbea,Cross-country,0,Très Bon État,-0.2857142857142857,-800.0,2.304109589041096
1250.0,Specialized,Cross-country,0,Bon État,-0.24,-300.0,3.3068493150684932
2199.0,Scott,Cross-country,0,Bon État,-0.3178717598908595,-699.0,2.304109589041096
3900.0,Specialized,Trail / Enduro,0,Comme Neuf,-0.2564102564102564,-1000.0,0.3041095890410959
4500.0,Specialized,Cross-country,0,Comme Neuf,-0.24444444444444446,-1100.0,0.3041095890410959
2999.0,BMC,Cross-country,0,Bon État,-0.4664888296098699,-1399.0,5.306849315068493
3599.0,Trek,Cross-country,0,Bon État,-0.16643512086690748,-599.0,1.3041095890410959
4300.0,Cannondale,Cross-country,0,Usé,-0.6162790697674418,-2650.0,4.306849315068493
5500.0,Cannondale,Cross-country,0,Bon État,-0.6036363636363636,-3320.0,2.304109589041096
3999.0,Scott,Trail / Enduro,0,Usé,-0.4998749687421855,-1999.0,2.304109589041096
6500.0,Scott,Cross-country,0,Bon État,-0.523076923076923,-3400.0,2.304109589041096
2300.0,Orbea,Cross-country,0,Bon État,-0.23913043478260865,-550.0,0.3041095890410959
1899.0,Orbea,Cross-country,0,Comme Neuf,-0.10531858873091104,-200.0,0.3041095890410959
2450.0,Orbea,Cross-country,0,Bon État,-0.2857142857142857,-700.0,2.304109589041096
1299.0,Cannondale,Trail / Enduro,0,Très Bon État,-0.4996150885296382,-649.0,1.3041095890410959
1099.0,Orbea,Cross-country,0,Bon État,-0.18107370336669704,-199.0,0.3041095890410959
950.0,Scott,VTT,0,Bon État,-0.368421052631579,-350.0,2.304109589041096
6999.0,Orbea,Cross-country,0,Très Bon État,-0.5427918274039149,-3799.0,2.304109589041096
7600.0,Orbea,Cross-country,0,Comme Neuf,-0.2894736842105263,-2200.0,0.3041095890410959
1550.0,Trek,Cross-country,0,Très Bon État,-0.29032258064516125,-450.0,2.304109589041096
1799.0,Scott,Cross-country,0,Bon État,-0.22178988326848248,-399.0,2.304109589041096
3399.0,Scott,Trail / Enduro,0,Bon État,-0.47043248014121797,-1599.0,2.304109589041096
1799.0,BMC,Cross-country,0,Comme Neuf,-0.11117287381878826,-200.0,0.3041095890410959
5500.0,Scott,Trail / Enduro,0,Bon État,-0.12727272727272732,-700.0,0.3041095890410959
5700.0,Orbea,Cross-country,0,Très Bon État,-0.2282456140350877,-1301.0,1.3041095890410959
2300.0,Specialized,Cross-country,0,Comme Neuf,-0.09999999999999998,-230.0,0.3041095890410959
6599.0,Orbea,Trail / Enduro,1,Comme Neuf,-0.1500227307167753,-990.0,0.3041095890410959
1299.0,Giant,Trail / Enduro,0,Usé,-0.38414164742109314,-499.0,3.3068493150684932
2699.0,Scott,Cross-country,0,Bon État,-0.6109670248240089,-1649.0,6.306849315068493
5499.0,Orbea,Trail / Enduro,0,Comme Neuf,-0.0925622840516458,-509.0,0.3041095890410959
3899.0,Orbea,Cross-country,0,Comme Neuf,-0.10259040779687101,-400.0,0.3041095890410959
6999.0,Specialized,Cross-country,0,Bon État,-0.21417345335047866,-1499.0,2.304109589041096
7999.0,Scott,Cross-country,0,Bon État,-0.3749218652331542,-2999.0,1.3041095890410959
1249.0,Specialized,Cross-country,0,Bon État,-0.35948759007205766,-449.0,3.3068493150684932
2699.0,Cannondale,Cross-country,0,Bon État,-0.25898480918858835,-699.0,0.3041095890410959
5990.0,BMC,Cross-country,0,Très Bon État,-0.28213689482470783,-1690.0,1.3041095890410959
6000.0,Scott,Cross-country,0,Bon État,-0.33333333333333337,-2000.0,2.304109589041096
6499.0,Scott,Cross-country,0,Bon État,-0.09216802585013084,-599.0,0.3041095890410959
5999.0,Trek,Cross-country,0,Comme Neuf,-0.2998833138856476,-1799.0,1.3041095890410959
5500.0,Scott,Trail / Enduro,0,Bon État,-0.23636363636363633,-1300.0,0.3041095890410959
8999.0,Orbea,Cross-country,0,Bon État,-0.47771974663851535,-4299.0,1.3041095890410959
8999.0,Orbea,Cross-country,0,Bon État,-0.47771974663851535,-4299.0,1.3041095890410959
12000.0,BMC,Cross-country,0,Comme Neuf,-0.45833333333333337,-5500.0,0.3041095890410959
6999.0,Scott,Cross-country,0,Bon État,-0.3570510072867552,-2499.0,1.3041095890410959
2800.0,Scott,Cross-country,0,Comme Neuf,-0.2142857142857143,-600.0,2.304109589041096
12000.0,BMC,Cross-country,0,Très Bon État,-0.29166666666666663,-3500.0,0.3041095890410959
1950.0,Trek,Cross-country,0,Très Bon État,-0.34615384615384615,-675.0,2.304109589041096
3099.0,Orbea,Cross-country,0,Usé,-0.3868989996773152,-1199.0,4.306849315068493
1699.0,Orbea,Cross-country,0,Usé,-0.29370217775161855,-499.0,3.3068493150684932
4100.0,Trek,Cross-country,0,Comme Neuf,-0.09756097560975607,-400.0,0.3041095890410959
9300.0,Scott,Cross-country,0,Très Bon État,-0.25806451612903225,-2400.0,0.3041095890410959
1024.0,Trek,Cross-country,0,Usé,-0.365234375,-374.0,0.3041095890410959
1150.0,Scott,Cross-country,0,Très Bon État,-0.3913043478260869,-450.0,1.3041095890410959
3499.0,Scott,Trail / Enduro,0,Usé,-0.5427264932837954,-1899.0,6.306849315068493
2490.0,Orbea,Cross-country,0,Bon État,-0.357429718875502,-890.0,1.3041095890410959
1699.0,Orbea,Cross-country,0,Usé,-0.29370217775161855,-499.0,3.3068493150684932
4500.0,Cannondale,Cross-country,0,Bon État,-0.7555555555555555,-3400.0,8.30958904109589
6300.0,Scott,Cross-country,0,Bon État,-0.5555555555555556,-3500.0,4.306849315068493
13000.0,Specialized,Cross-country,0,Comme Neuf,-0.1546153846153846,-2010.0,0.3041095890410959
5999.0,Orbea,Cross-country,0,Comme Neuf,-0.200033338889815,-1200.0,0.3041095890410959
5000.0,Giant,Cross-country,0,Bon État,-0.30200000000000005,-1510.0,1.3041095890410959
2500.0,BMC,Cross-country,0,Bon État,-0.36,-900.0,0.3041095890410959
4899.0,Cannondale,Cross-country,0,Comme Neuf,-0.14901000204123294,-730.0,0.3041095890410959
7299.0,Cannondale,Cross-country,0,Comme Neuf,-0.15002055076037812,-1095.0,0.3041095890410959
8899.0,Cannondale,Cross-country,0,Comme Neuf,-0.15001685582649738,-1335.0,0.3041095890410959
